task_id,title,description,priority,estimated_effort,category,branch_name,dependencies,success_criteria,files_to_modify,status,completion_date,pr_number,notes
TASK-023,High-Resolution Chart and KPI Card Export,"Implement high-resolution image export functionality for charts and KPI cards for thesis documentation",High,1 day,feature,feature/high-res-export,none,"Charts and KPI cards can be exported as high-resolution PNG/SVG files at 300 DPI for academic publications",src/utils/exportUtils.ts;src/components/ui/ExportButton.tsx,completed,2025-08-14,,"Implemented ChartExportWrapper component with PNG/SVG export at 300 DPI. All charts and KPI cards now exportable."
TASK-024,Enhanced CSV Export for Thesis Data,"Enhanced CSV export functionality with detailed comparison tables and thesis-ready data formatting",High,1 day,enhancement,enhancement/thesis-csv-export,none,"CSV exports include detailed comparison tables, properly formatted for academic analysis and thesis appendices",src/utils/csvUtils.ts;src/components/features/,completed,2025-08-13,4,"Simple CSV export matching UI table exactly. Fixed comma separation issues for financial values.",
TASK-025,Transfer Station Valorization Scenarios,"Add transfer station improvement scenarios including MRF, composting, and biogas processing capabilities",High,1 day,feature,feature/transfer-station-valorization,none,"Transfer station parameters include valorization options: MRF efficiency, composting capacity, biogas generation",src/constants/initialState.js;src/hooks/useWasteSimulation.tsx,completed,2025-08-14,,"Implemented comprehensive valorization scenarios: compostaje, biogas generation, plastic pyrolysis with economic modeling in v2.1.0."
TASK-026,Waste Separation at Generation Scenarios,"Implement waste separation modeling at generation sources with different separation rates by sector",High,1 day,feature,feature/waste-separation-scenarios,none,"Scenarios can model different waste separation rates at hotels, restaurants, homes, and commerce",src/constants/initialState.js;src/hooks/useWasteSimulation.tsx,completed,2025-08-14,,"Implemented separation enhancement programs: education, incentive, and container programs with sector-specific impacts in v2.1.0."
THESIS-001,Mathematical Model Deconstruction,"Translate programming logic from useWasteSimulation.tsx into formal academic mathematical language with proper symbolic notation",Critical,3 days,thesis,thesis/mathematical-model,none,"Complete mathematical formulation with defined variables and equations for Chapter 3 of thesis","src/hooks/useWasteSimulation.tsx;docs/Chapter3-Mathematical-Model.md",completed,2025-08-19,,"FASE 1 - Critical for thesis scientific rigor. Complete with 80+ formal variables, equations, and academic flow diagram."
THESIS-002,Base Scenario Data Traceability,"Create complete documentation and justification for every parameter in initialState.js with proper academic citations",Critical,4 days,thesis,thesis/data-traceability,none,"Anexo with 4-column table: Parameter, Value, Units, Source/Justification for every single parameter","src/constants/initialState.js;docs/Anexo-Fuentes-Datos.md",completed,2025-08-20,,"FASE 1 - COMPLETADO: 89/89 parámetros documentados (100%) con fuentes académicas. Distribución: 12 primarias, 42 secundarias, 35 ingenieriles. Anexo académico completo listo para tesis. Completado 1 día adelantado al cronograma."
THESIS-003,Model Validation Against Reality,"Validate simulator results using existing reports, online databases, and proxy data with statistical analysis",Critical,3 days,thesis,thesis/model-validation,THESIS-001,"Validation chapter with comparative analysis, error assessment, and limitation documentation","docs/Chapter-Validation.md;data/holbox-historical-data.csv;src/constants/initialState.js;validation-execution.js;validation-results.md",completed,2025-08-20,,"FASE 1 - COMPLETADO CON ÉXITO TOTAL: 100% validation rate (8/8 KPIs). Validación con fuente primaria (estudio propio 2022). Calibración exitosa: finalTransportCapacity 10→8 tons/día. Error promedio: 13.1%. Tabla 4.1 completa en Chapter-Validation.md. Framework estadístico ejecutado exitosamente."
THESIS-004,Sensitivity Analysis,"Identify 5-7 key uncertain parameters and analyze +/-10% and +/-20% variations impact on system KPIs",High,3 days,thesis,thesis/sensitivity-analysis,THESIS-003,"Tornado/spider charts and sensitivity analysis chapter showing most influential system levers","docs/Chapter-Sensitivity-Analysis.md;data/sensitivity-results.csv;src/utils/sensitivityAnalysis.js;charts/tornado-diagrams.png",completed,2025-08-20,,"FASE 2 - COMPLETADO EXITOSAMENTE: Análisis de sensibilidad completado al 100%. 7 parámetros evaluados con variaciones ±10% y ±20%. 29 escenarios ejecutados. Capacidad transporte final identificada como variable crítica (30.7% impacto). 8 gráficos tornado/araña generados a 300 DPI. Framework completo listo para defensa académica."
THESIS-005,Assumptions and Limitations Documentation,"Comprehensive documentation of all model simplifications and their potential impact on results",High,2 days,thesis,thesis/assumptions-limitations,THESIS-004,"Complete 'Assumptions and Limitations' section demonstrating intellectual honesty and deep model understanding","docs/Chapter-Assumptions-Limitations.md",completed,2025-08-22,,"FASE 3 - COMPLETADO: Chapter 5 comprehensive assumptions analysis with 542 lines, 4 assumption categories, quantified impact matrix, and academic references. Demonstrates intellectual honesty and model credibility."
THESIS-006,Improvement Scenario Refinement,"Use sensitivity analysis findings to design realistic high-impact improvement scenario with justified parameter values",Medium,3 days,thesis,thesis/improvement-scenario,THESIS-004,"Refined improvement scenario with justified parameters and comparison analysis using dashboard","docs/Chapter-Improvement-Scenario.md;data/improvement-comparison.csv",completed,2025-08-22,,"FASE 3 - COMPLETADO: Chapter 6 comprehensive evidence-based improvement scenario with 8-scenario validation, quantitative impact analysis, and SCENARIO-3 optimal solution. Complete ROI analysis and implementation roadmap."
THESIS-007,Final Documentation Assembly,"Assemble all components into coherent thesis document with proper formatting and appendices",Medium,2 days,thesis,thesis/final-assembly,THESIS-006,"Complete thesis with Results/Discussion chapter, Conclusions, and properly formatted appendices","docs/Complete-Thesis.md;appendices/",pending,,,"FASE 3 - Professional document ready for defense. All artifacts properly referenced."
VALIDATION-001,Mass Conservation Verification,"Implement automated validation to verify mass conservation: total generated = recovered + valorized + disposed + leaks",Critical,2 days,validation,validation/mass-conservation,THESIS-001,"Automated test suite verifying mass balance equations across all simulation scenarios with detailed reporting","src/test/validation/massConservation.test.js;src/utils/validation.js",completed,2025-08-19,,"Critical for model credibility. Implemented comprehensive test suite with 8 test suites, real-time dashboard, and G_total validation equation."
VALIDATION-002,Physical Constraints Verification,"Verify that system capacities are never exceeded and inventories remain within physical limits",Critical,2 days,validation,validation/physical-constraints,THESIS-001,"Automated validation ensuring no capacity overruns, inventory limits respected, and physical feasibility maintained","src/test/validation/physicalConstraints.test.js;src/utils/constraintValidator.js",completed,2025-08-19,,"Implemented comprehensive capacity validation with 8 test scenarios, real-time bottleneck analysis, and integrated dashboard. Validates collection, transfer station, and final transport capacities with utilization monitoring."
VALIDATION-003,Real Data Comparison Framework,"Create framework for comparing simulation results against historical Holbox data with error percentage calculations",Critical,3 days,validation,validation/real-data-comparison,THESIS-003,"Comparison framework with statistical analysis, error calculations, and discrepancy reporting for thesis validation","src/utils/realDataComparison.js;docs/Validation-Results.md;data/holbox-comparison.csv",completed,2025-08-19,,"Complete statistical framework with error analysis, confidence intervals, significance testing, and academic reporting. Ready for historical data integration with comprehensive test suite and validation templates."
SENSITIVITY-001,Parameter Variation Analysis,"Execute systematic parameter variations (±10%, ±20%) for 7 key system parameters to identify most influential variables",High,2 days,analysis,analysis/parameter-sensitivity,THESIS-004,"Comprehensive sensitivity data showing parameter impact on KPIs with statistical significance testing","src/utils/sensitivityAnalysis.js;data/sensitivity-results.csv;sensitivity-execution.js",completed,2025-08-20,,"TAREA 2 - COMPLETADO: Variación sistemática ejecutada para 7 parámetros críticos con ±10% y ±20%. 29 escenarios analizados. Resultados: finalTransportCapacity (30.7%), collectionCost (11.9%), restaurantRate (11.5%) como top 3 variables críticas. Framework completo para análisis académico."
SENSITIVITY-002,Tornado Chart Visualization,"Create tornado and spider chart visualizations showing relative parameter sensitivity for academic presentation",Medium,1 day,visualization,visualization/tornado-charts,SENSITIVITY-001,"Professional tornado/spider charts suitable for thesis documentation with parameter ranking by impact","charts/tornado_chart_overall_sensitivity.png;charts/spider_chart_parameter_sensitivity.png;charts/tornado_chart_*.png;create_tornado_charts.py",completed,2025-08-20,,"TAREA 2 - COMPLETADO: 8 gráficos tornado/araña generados exitosamente a 300 DPI para presentación académica. Incluye: gráfico general, araña top-7, y visualizaciones individuales por KPI. Variables críticas claramente identificadas y rankeadas. Listo para defensa de tesis."
ADVISOR-001,Mathematical Model Correction,"Fix inventory equations inconsistencies between Chapter 3 and code implementation. Ensure mathematical formulation matches useWasteSimulation.tsx logic exactly",Critical,4 days,thesis-correction,thesis/model-math-fix,THESIS-001,"Chapter 3 equations mathematically sound and mirror code implementation perfectly. Balance of mass impeccable at each stage","docs/FirstDraft/Capitulo-3-Modelo-Matematico.md;src/hooks/useWasteSimulation.tsx",completed,2025-08-25,,"COMPLETADO: Ecuación ratio procesado corregida M_procesado(t)/M_transferencia(t) para coherencia total con código useWasteSimulation.tsx. Balance masa verificado."
ADVISOR-002,Validation Results Reformulation,"Remove '100% validation' claims and replace with nuanced model credibility analysis. Discuss all discrepancies including 'acceptable' ones",Critical,3 days,thesis-correction,thesis/validation-credibility,THESIS-003,"Chapter 4 presents honest model credibility assessment. All errors discussed with potential sources. No overconfident claims","docs/FirstDraft/Capitulo-4-Validacion-Modelo.md",completed,2025-08-25,,"COMPLETADO: Eliminados claims '100% validación'. Agregada Sección 4.6.2 análisis discrepancia comercial 28.2%. Tabla 4.3 transparencia calibración en TODOS KPIs. Análisis matizado credibilidad modelo implementado."
ADVISOR-003,Base Scenario Reality Clarification,"Clarify that base scenario represents theoretical unsustainability not current daily operations. Acknowledge informal adaptations exist in reality",Critical,2 days,thesis-correction,thesis/base-scenario-clarification,none,"All chapters clearly distinguish between theoretical model base and adapted reality. Constructo teórico vs operación diaria","docs/FirstDraft/Capitulo-5-Supuestos-Limitaciones.md;docs/FirstDraft/Capitulo-6-Escenario-Mejora.md;docs/FirstDraft/Capitulo-7-Resultados-Discusion.md",completed,2025-08-25,,"COMPLETADO: Sección 5.1.4 añadida clarificando Escenario Base como constructo teórico vs realidad operativa. Terminología corregida: 'falla crítica' → 'insostenibilidad teórica'. Distinción clara implementada."
ADVISOR-004,State of Art Comparative Analysis,"Deepen WARM/ISWM model comparison. What variables do they model that we don't? What assumptions do they make that we improve? Specific comparative analysis",Critical,3 days,thesis-correction,thesis/comparative-analysis,none,"Chapter 1 includes deep comparative analysis with existing models. Specific variables and assumptions compared critically","docs/FirstDraft/Capitulo-1-Introduccion-Marco-Teorico.md",completed,2025-08-25,,"COMPLETADO: Tabla 1.2 comparativa crítica WARM/ISWM/SWM-Sim vs nuestro modelo. Análisis específico de supuestos mejorados, variables no modeladas, gaps metodológicos resueltos. Contribución metodológica distintiva establecida."
ADVISOR-005,Tourism Growth Limits Analysis,"Add analysis of island carrying capacity limits to tourism growth projections. Discuss growth constraints and their impact on projections",High,2 days,thesis-correction,thesis/growth-limits-analysis,none,"Figure 1.3 includes carrying capacity analysis and growth constraints discussion. Realistic growth scenarios considered","docs/FirstDraft/Capitulo-1-Introduccion-Marco-Teorico.md",completed,2025-08-25,,"COMPLETADO: Análisis detallado capacidad de carga con 4 factores limitantes. Punto saturación crítica 2027-2028 (18,000 visitantes). Límite superior natural ~30 tons RSU/día establecido vs crecimiento exponencial ingenuo."
ADVISOR-006,Simulation Engine Refactoring,"Decompose monolithic useWasteSimulation hook (300+ lines) into smaller pure functions. Improve variable names and extract hardcoded values",Critical,5 days,code-quality,code/simulation-refactor,none,"useWasteSimulation decomposed into 6 pure modules + orchestrator. Hook reduced from 300+ to 15 lines. Clean architectural separation achieved.","src/hooks/useWasteSimulation.tsx;src/simulation/modules/;src/simulation/simulationEngine.ts",completed,2025-08-25,,"COMPLETADO: Refactorización arquitectónica total. 7 módulos puros creados: generation, collection, separation, valorization, inventory, economics, simulationEngine. Hook simplificado 95% (245 líneas eliminadas). Separación backend/frontend lograda."
ADVISOR-006-1,Extract Generation Logic,"Move generation calculation logic (genBySource, genByMaterial) to pure function in generation.ts module",Critical,1 day,code-quality,code/simulation-refactor-generation,ADVISOR-006,"Generation logic extracted into calculateGeneration pure function with proper TypeScript interfaces","src/simulation/modules/generation.ts;src/hooks/useWasteSimulation.tsx",completed,2025-08-25,,"COMPLETADO: Módulo generation.ts creado con función pura calculateGeneration(). Maneja generación por fuente y tasas de separación mejoradas. Commit 978c7ad."
ADVISOR-006-2,Extract Collection Logic,"Move collection and logistics calculations to pure function in collection.ts module",Critical,1 day,code-quality,code/simulation-refactor-collection,ADVISOR-006-1,"Collection logic extracted into processCollection pure function","src/simulation/modules/collection.ts;src/hooks/useWasteSimulation.tsx",completed,2025-08-25,,"COMPLETADO: Módulo collection.ts creado con función pura processCollection(). Maneja capacidad, déficit, recuperación informal y fugas. Commit 99cfa95."
ADVISOR-006-3,Extract Separation Logic,"Move transfer station separation calculations to pure function in separation.ts module",Critical,1 day,code-quality,code/simulation-refactor-separation,ADVISOR-006-2,"Separation logic extracted into processSeparation pure function","src/simulation/modules/separation.ts;src/hooks/useWasteSimulation.tsx",completed,2025-08-25,,"COMPLETADO: Módulo separation.ts creado con función pura processSeparation(). Maneja entrega, procesamiento, recuperación alta/baja calidad. Commit c07f94c."
ADVISOR-006-4,Extract Valorization Logic,"Move valorization processes (composting, biogas, pyrolysis) to pure function in valorization.ts module",Critical,1 day,code-quality,code/simulation-refactor-valorization,ADVISOR-006-3,"Valorization logic extracted into processValorization pure function","src/simulation/modules/valorization.ts;src/hooks/useWasteSimulation.tsx",completed,2025-08-25,,"COMPLETADO: Módulo valorization.ts creado con función pura processValorization(). Maneja compostaje, biogas, pirólisis con cálculos económicos. Commit cd6df5a."
ADVISOR-006-5,Extract Inventory Logic,"Move inventory dynamics and final disposal calculations to pure function in inventory.ts module",Critical,1 day,code-quality,code/simulation-refactor-inventory,ADVISOR-006-4,"Inventory logic extracted into updateInventoriesAndFlows pure function","src/simulation/modules/inventory.ts;src/hooks/useWasteSimulation.tsx",completed,2025-08-25,,"COMPLETADO: Módulo inventory.ts creado con función pura updateInventoriesAndFlows(). Maneja dinámicas multi-etapa y flujos de disposición final. Commit a565f0d."
ADVISOR-006-6,Extract Economics Logic,"Move economic calculations (costs, income, ROI) to pure function in economics.ts module",Critical,1 day,code-quality,code/simulation-refactor-economics,ADVISOR-006-5,"Economics logic extracted into calculateEconomics pure function","src/simulation/modules/economics.ts;src/hooks/useWasteSimulation.tsx",completed,2025-08-25,,"COMPLETADO: Módulo economics.ts creado con función pura calculateEconomics(). Maneja costos RSU, ingresos, programas separación, residuos especiales. Commit fd2476e."
ADVISOR-006-7,Create Simulation Engine,"Create simulationEngine.ts to orchestrate all modules and simplify useWasteSimulation hook to <100 lines",Critical,1 day,code-quality,code/simulation-refactor-engine,ADVISOR-006-6,"SimulationEngine created with runSimulation and runDailyStep functions. Hook simplified to 15 lines (target <100 achieved)","src/simulation/simulationEngine.ts;src/hooks/useWasteSimulation.tsx",completed,2025-08-25,,"COMPLETADO: Motor simulationEngine.ts creado (420 líneas) orquestando todos los módulos. Hook reducido 95% (300→15 líneas). Separación arquitectónica backend/frontend lograda. Commits 75c7dc6, b7cef22."
ADVISOR-007,Enhanced Unit Testing Suite,"Add unit tests for economic calculations (ROI, net costs) and physical constraints (non-negative inventories). Expand beyond mass conservation",High,3 days,code-quality,code/enhanced-testing,ADVISOR-006-7,"Comprehensive unit tests cover ROI calculations, cost computations, and physical constraints validation. Financial calculations tested thoroughly","src/test/validation/economicCalculations.test.js;src/test/validation/physicalConstraints.test.js",completed,2025-08-26,,"COMPLETADO: Suite comprehensiva economicCalculations.test.js creada con 150+ casos de prueba. Valida cálculos costo (colección, transfer, transporte, disposición), ingresos (venta materiales), costos netos, ROI valorización, programas separación, residuos especiales. Casos extremos y edge cases cubiertos. Credibilidad modelo financiero asegurada. Commit 3fe4e83."
ADVISOR-008,Calibration Impact Analysis,"Analyze how finalTransportCapacity calibration (10→8) affected all 8 KPIs. Provide transparency on calibration process and parameter sensitivity",High,2 days,thesis-correction,thesis/calibration-analysis,ADVISOR-002,"Chapter 4 includes complete calibration impact analysis. Shows effect of parameter adjustment on all KPIs. Transparent calibration process documented","docs/FirstDraft/Capitulo-4-Validacion-Modelo.md",completed,2025-08-25,,"COMPLETADO: Tabla 4.3 Impacto Calibración implementada mostrando efecto de ajuste finalTransportCapacity en TODOS 8 KPIs. Análisis efectos sistémicos: directo, cascada, sin adversos. Descarta overfitting. Transparencia total documentada."
BRUTAL-001,Compresión Brutal 350→50 Páginas,"Ejecutar plan compresión radical: eliminar marco teórico, formalización matemática, mantener solo diagnóstico-solución-implementación",Critical,5 days,thesis-compression,thesis/brutal-compression,ADVISOR-008,"Tesina aplicación práctica 50 páginas: diagnóstico problema real, solución viable, plan implementación con ROI","docs/SecondDraft/",pending,,,"COMPRESIÓN RADICAL: Cortar 300 páginas académicas, preservar valor consultoría. Cliente: Director Servicios Públicos Municipales."
BRUTAL-001-1,Escribir Introducción Comprimida,"Crear Introducción 8 páginas: antecedentes Holbox, problemática colapso 2025, pregunta investigación, objetivos consultoría, propuesta valor",Critical,1 day,thesis-compression,thesis/intro-compression,BRUTAL-001,"Introducción consultoría con problema real, costo crisis ($2M/año), pregunta clave optimización sistema","docs/SecondDraft/1-Introduccion.md",pending,,,"Holbox: 2,687 hab + 140k turistas. Crisis: transporte $5,460/día. Colapso proyectado sin intervención."
BRUTAL-001-2,Escribir Desarrollo Ejecutivo,"Crear Desarrollo 30 páginas: diagnóstico (6p), modelo simplificado (6p), validación datos 2022 (5p), variables críticas top-3 (5p), evaluación 8 escenarios (8p)",Critical,2 days,thesis-compression,thesis/development-compression,BRUTAL-001-1,"Desarrollo ejecutivo con tabla 8 escenarios, hallazgo crítico: valorización=supervivencia, escenario óptimo E-3","docs/SecondDraft/2-Desarrollo.md",pending,,,"Foco: problema-diagnóstico-solución. Tabla comparativa 8 escenarios. Sin valorización=100% falla."
BRUTAL-001-3,Escribir Conclusiones Ejecutivas,"Crear Conclusiones 5 páginas: hallazgos principales, respuesta pregunta investigación, validación propuesta, ROI 13.3 meses",Critical,1 day,thesis-compression,thesis/conclusions-compression,BRUTAL-001-2,"Conclusiones ejecutivas: valorización=infraestructura esencial, sistema auto-financiable +$1,059,960/año","docs/SecondDraft/3-Conclusiones.md",pending,,,"Conclusión clave: valorización NO opcional sino esencial. Beneficio neto demostrado."
BRUTAL-001-4,Escribir Recomendaciones Implementables,"Crear Recomendaciones 7 páginas: plan implementación 3 fases, presupuesto detallado $2.2M, cronograma, consideraciones críticas financiamiento",Critical,1 day,thesis-compression,thesis/recommendations-compression,BRUTAL-001-3,"Recomendaciones ejecutables: Fase 1 compostera $1.2M, Fase 2 separación $400K, retorno $1.059M/año","docs/SecondDraft/4-Recomendaciones.md",pending,,,"Plan accionable 2025-2030. Financiamiento fondo ambiental estatal disponible."
BRUTAL-001-5,Crear Anexos Técnicos Comprimidos,"Crear Anexos 25 páginas: datos generación (5p), parámetros modelo (5p), validación completa (5p), análisis económico (5p), especificaciones técnicas (5p)",Critical,1 day,thesis-compression,thesis/annexes-compression,BRUTAL-001-4,"Anexos técnicos esenciales con tabla 89 parámetros, validación R²=0.94, flujos caja 5 años, cotizaciones equipos","docs/SecondDraft/Anexos/",pending,,,"Soporte técnico mínimo necesario. Solo datos críticos para implementación."
BRUTAL-002,Formato ITAM Estricto Aplicación,"Aplicar formato ITAM estricto: carátula, numeración, espaciado 1.5, fuente Times New Roman 12pt, márgenes, referencias APA",High,1 day,thesis-formatting,thesis/format-itam-strict,BRUTAL-001-5,"Documento formato ITAM profesional: carátula oficial, contenido numerado, primera página resumen 200 palabras","docs/SecondDraft/TesinaFinal.pdf",pending,,,"Formato riguroso ITAM para presentación. Generar PDF final listo entrega."
BRUTAL-003,Revisión Final y Entrega,"Revisión ortografía, coherencia, numeración páginas, referencias completas, generación PDF final, backup seguridad",Medium,1 day,thesis-finalization,thesis/final-review,BRUTAL-002,"Tesina final 50 páginas lista presentación: ortografía perfecta, formato impecable, PDF optimizado","docs/SecondDraft/TesinaFinal-ENTREGA.pdf",pending,,,"Documento final listo defensa. Control calidad total antes presentación."
